id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1254414461639328708,"Centretown: Clean, room w/private bath + balcony",58779242,Rym,,Somerset,45.409399996479365,-75.69717040054282,Private room,48,2,19,2025-02-24,3.83,6,325,19,STR-843-322
1254415901763416563,"Centretown: Clean, Private Room in Heritage Home",58779242,Rym,,Somerset,45.41114094032824,-75.69733228297554,Private room,42,2,8,2025-02-08,2.42,6,121,8,STR-843-322
1254520956677643410,Executive Kanata 3 Bedroom with Hot Tub,85297148,Genevieve,,Kanata North,45.318968219680094,-75.92854424129295,Entire home/apt,155,30,0,,,36,267,0,
1255181811095469160,The Como Hideaway | Orleans Townhouse,145997765,Keisha,,Orleans,45.4777537656107,-75.4733137100874,Entire home/apt,235,3,2,2025-01-06,0.78,1,168,2,STR-845-536
1255276188907257732,3 bedroom townhouse,36233871,Rena,,Capital,45.391168,-75.67863729999999,Entire home/apt,120,30,0,,,1,350,0,
1255307426508993137,Cozy Room with Workspace and TV,577065056,Elvis,,Innes,45.4297198,-75.5223068,Private room,,1,16,2025-01-25,3.18,4,0,16,STR-844-322
1256852230302604444,Luxurious Waterfront Suite with Ensuite,20667719,Nikkie,,Rideau-Goulbourn,45.10182123702402,-75.62291115906811,Private room,100,3,1,2024-11-02,0.23,2,271,1,STR-826-615
1257353385665054229,Spacious basement ensuite. Near airport & downtown,654825422,Shruti,,Gloucester-South Nepean,45.3166046,-75.5946749,Private room,68,1,48,2025-03-09,13.58,1,53,48,STR-845-367
1257412009660085026,Bright family home,71311257,Naomi,,Rideau-Goulbourn,45.237579241758255,-75.74503729546177,Entire home/apt,210,30,0,,,3,109,0,
1257478050547364847,Private Room/ Heart of Barrhaven,594889470,Mohammed,,Barrhaven,45.27116115157227,-75.74868562423083,Private room,53,1,10,2025-02-02,1.99,3,0,10,STR-842-887
1257483639124928290,Private Room/Barrhaven Central,594889470,Mohammed,,Barrhaven,45.27197042465961,-75.74993303314896,Private room,53,1,6,2025-02-02,1.51,3,0,6,STR-842-887
1257647607168873640,Spacious Queen Bed Near The Shore,166887496,Sandrine,,Bay,45.35346650487071,-75.79065239315865,Private room,90,1,0,,,6,107,0,STR-837-081
1257898595829324426,Stylish home d-town with Parking,80334963,Paul,,Rideau-Vanier,45.43592,-75.68121,Entire home/apt,,2,16,2025-02-27,3.04,1,47,16,STR-815-212
1257926898257166268,Bright & Cozy Condo in Downtown,53510493,Alicia,,Somerset,45.4180178,-75.7058272,Entire home/apt,112,60,0,,,1,364,0,
1258133758905575546,Bright comfy Room with desk,191000580,Margaret,,Barrhaven,45.261989295870166,-75.75623113933888,Private room,45,30,0,,,2,365,0,
1258780293238193793,Ultimate Cozy Corner,122524816,Kayla,,Knoxdale-Merivale,45.35710596156004,-75.72274716119466,Entire home/apt,80,30,0,,,1,283,0,
1258939122295166665,Executive Town Home,545302201,Ferdinand,,West Carleton-March,45.36501893806945,-75.93318729614903,Entire home/apt,155,2,8,2025-03-09,1.60,1,319,8,STR-844-371
