id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
789929906316105217,Appartement à Charlesbourg,46740103,Julie,,Quartier 4-3,46.88135,-71.26258,Entire home/apt,99,1,49,2024-11-03,1.95,1,104,25,"312062, expires: 2026-02-13T00:00:00Z"
792332912220040543,Well located room - uni hospital,10023073,Kevin,,Cité Universitaire,46.77665,-71.28846,Private room,32,31,3,2024-12-24,0.16,6,364,1,
792343570550687905,Chambre université Laval ou stage IUCPQ,10023073,Kevin,,Cité Universitaire,46.77809,-71.2877,Private room,24,31,4,2024-12-26,0.19,6,317,3,
794938702818927919,Exceptionnel 1 à 4 voyageurs,481883837,Rene,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81386,-71.21359,Entire home/apt,150,31,6,2025-01-05,0.30,1,277,3,
795532124380232201,Condo dans le Vieux Québec.,28547994,Vero,,Saint-Jean-Baptiste,46.8124622,-71.21642709999999,Entire home/apt,151,31,1,2023-09-15,0.06,1,304,0,
795749249211863445,Superbe appartement design,59757274,Mathieu,,Saint-Jean-Baptiste,46.8102187,-71.2222894,Entire home/apt,60,31,1,2025-01-30,0.88,1,242,1,
795838450652266093,Petit appartement charmant,202266041,Stéphanie,,Sillery,46.78885,-71.24849,Entire home/apt,36,31,14,2024-03-27,0.56,1,78,1,
800137922642104047,Bluenose,479235315,Dayan,,Saint-Sauveur,46.80957919999999,-71.2346565,Entire home/apt,217,1,59,2024-12-23,2.28,1,28,14,"311491, expires: 2025-12-15"
801365000688046705,"Studio, complet et privé",495343761,Monique,,Jésuites,46.8727,-71.25807,Entire home/apt,90,2,65,2025-02-16,2.50,1,266,24,"311375, expires: 2025-11-30"
807156721472722636,Le 1808 - Spacieux à Limoilou,283062887,Exode,,Maizerets,46.83848,-71.22063,Entire home/apt,114,2,25,2025-02-02,0.99,5,340,19,"303086, expires: 2025-11-30"
807981245397825755,Charmant 2CC pour 6 Limoilou A/C Stationnement,360561337,Jacques,,Vieux-Limoilou,46.8243,-71.22761,Entire home/apt,154,1,49,2025-02-20,2.45,13,247,26,"299166, expires: 2025-08-31"
808037275918275695,*Nouveau* Superbe 2CC Limoilou,360561337,Jacques,,Vieux-Limoilou,46.82611,-71.22927,Entire home/apt,300,1,38,2025-02-17,1.93,13,239,28,"303236, expires: 2025-10-31"
809387047362908748,Maison Cœur de Lion-Free Parking,460907041,Dayan,,Saint-Roch,46.81509,-71.22466,Entire home/apt,186,1,77,2025-01-02,3.01,1,26,23,"310917, expires: 2026-01-19"
815367165565902416,Panache Royal 2,465617723,Martin,,Quartier 5-4,46.86225,-71.18826,Entire home/apt,139,2,141,2025-02-24,5.69,4,335,68,"310628, expires: 2025-09-20T00:00:00Z"
815920028539045604,Maison Historique,72269614,Patrick,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80335,-71.20896,Entire home/apt,314,3,22,2024-10-26,1.07,1,305,8,"311268, expires: 2025-11-11T00:00:00Z"
815927384609722544,Titre,30383593,Philippe,,Saint-Émile,46.87918,-71.35033,Entire home/apt,,1100,0,,,1,0,0,
818096508038830493,Luxueux condo chaleureux et douillet à Lebourgneuf,41905732,Jean-Philippe,,Neufchâtel-Est/Lebourgneuf,46.84311999869101,-71.31357986479998,Entire home/apt,234,2,32,2025-02-18,1.28,1,79,12,"312865, expires: 2025-05-04T00:00:00Z"
819976237783038995,Grande maison downtown Quebec,499479998,Francis,,Saint-Louis,46.75916,-71.28671,Entire home/apt,270,31,84,2025-02-15,3.48,1,301,41,"312115, expires: 2026-02-02"
820532614202539116,La tanière du renard roux,16154708,Melanie,,Saint-Sauveur,46.81538,-71.23922,Entire home/apt,99,31,7,2024-12-24,0.33,2,205,4,
822324069372980014,Initial | Art-déco | Québec,19909639,Louis,,Saint-Roch,46.81363,-71.22575,Entire home/apt,,1,103,2025-02-24,4.22,49,0,45,"312091, expires: 2026-02-23"
822358720726866857,The Harfang | Parking | Pool & BBQ | Office & AC,43299704,Michel,,Saint-Roch,46.81408,-71.21901,Entire home/apt,112,31,117,2025-02-22,4.99,9,278,56,"310483, expires: 2025-08-31"
822464509457977582,spacieux sur deux étages,500185860,Annick,,Chutes-Montmorency,46.886322751657254,-71.16496000438929,Entire home/apt,150,31,40,2024-10-06,1.61,1,90,15,"312021, expires: 2025-02-07"
822494993087199216,Le Bouleau | Parking | Pool & BBQ | Office & AC,43299704,Michel,,Saint-Roch,46.81443,-71.22048,Entire home/apt,149,31,79,2025-01-27,3.37,9,17,39,"310483, expires: 2025-08-31"
