id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1327214740873139939,It is a basement unit room,460391340,Mohabatjeet,,St. Vital,49.85563,-97.10843,Private room,45,1,0,,,1,365,0,
1327640378926693457,A nice place to stay,666132717,Priscilla Lynn,,Fort Rouge - East Fort Garry,49.88177,-97.1391,Private room,31,4,2,2025-01-31,1.28,1,67,2,
1328237193652487804,Stylish 1BR Loft in the Exchange,655538517,Michael,,Point Douglas,49.89842,-97.13379,Entire home/apt,92,2,2,2025-02-23,2,1,90,2,
1328528120112446737,City center home with 2 bedroom,653711189,Liting,,Mynarski,49.91501,-97.14509,Entire home/apt,38,30,0,,,2,214,0,
1329190705007689412,The Village Gem,669291119,Leila,,Fort Rouge - East Fort Garry,49.88084727289273,-97.14530222117901,Entire home/apt,110,30,0,,,1,157,0,
1329379085138173074,Cozy One bedroom suite,669593031,Folarin,,Waverley West,49.77217036098438,-97.18892140550871,Entire home/apt,75,1,3,2025-01-19,1.55,2,160,3,
1329923634727290208,"Brightly, quiet, comfort bedroom",596205501,Dejun,,River Heights - Fort Garry,49.83299849646479,-97.20159493372955,Private room,49,1,0,,,3,365,0,STRA-2025-2658831
1329994572369894222,Lakeview Walkout Suite-Separate Entrance,524537745,Jannatun Nesa,,Waverley West,49.783940837070304,-97.19996255958081,Entire home/apt,71,1,5,2025-02-03,3.06,1,286,5,
1330623900377374933,Comfy home away from home,579891311,Asharinanya,,Mynarski,49.9214965,-97.1421134,Private room,41,1,2,2025-02-03,1.62,2,364,2,
1330716863617408658,2 Beds 1 Bathroom,482693695,Keshav,,St. Norbert - Seine River,49.81474735995041,-97.08257225145549,Private room,72,1,0,,,1,365,0,
1331575933692008883,2 Beds -  house close to Winnipeg Airport,359844007,Bashimbe,,Mynarski,49.9305299,-97.139853,Entire home/apt,85,2,3,2025-02-14,2.14,3,363,3,
1331598922051438078,"1 bed downtown, Wi-Fi across from arena wifi",455331517,Murray And Carley,,Daniel McIntyre,49.89481421984294,-97.14584859486432,Entire home/apt,139,1,6,2025-02-16,3.27,13,359,6,Stra-2025-2667306
1331773168082126001,Refuel and recharge,579891311,Asharinanya,,Mynarski,49.921083347728676,-97.14255914663455,Private room,44,1,0,,,2,337,0,
1331948214169168473,Serene Getaway with Quiet Views,662982227,Ramon Jr,,North Kildonan,49.9486304,-97.0728573,Private room,50,1,0,,,2,75,0,
1332099149461037988,The two bedrooms Bridgewater,672349281,Yun,,Waverley West,49.8104492,-97.18086489999999,Private room,98,1,0,,,1,0,0,
1332133650870781452,Home my home,672360355,Olugbenga Moses,,St. Vital,49.8321331,-97.0907143,Entire home/apt,96,2,0,,,2,364,0,STRA-2025-2656781
1332176507976362382,Near Polo park/Airport Suite #2,128856873,John,,St. James,49.8870873,-97.2184743,Entire home/apt,107,2,1,2025-02-02,0.88,2,90,1,
1332178277539372364,Private Home,672360355,Olugbenga Moses,,St. Vital,49.83199568794827,-97.09076385788995,Entire home/apt,84,2,6,2025-02-28,3.60,2,0,6,
1332585572127154137,Spacious 1 bed downtown across arena Wifi laundry,455331517,Murray And Carley,,Daniel McIntyre,49.89478,-97.14589,Entire home/apt,124,1,5,2025-02-17,3.13,13,359,5,stra-2025-2667306
1332840757632747611,Osborne-Peg: Your Village Escape,105884901,Stas,,Fort Rouge - East Fort Garry,49.86079693151629,-97.13042111650493,Entire home/apt,110,1,3,2025-02-23,2.57,9,0,3,STRA-2024-2528389
1333585474996670789,Sun-kissed condo with river view,233925022,Jean,,Fort Rouge - East Fort Garry,49.87987849627826,-97.15344717112654,Entire home/apt,76,5,0,,,1,12,0,
1333741206717708703,Winnipeg Urban Oasis,673032385,Leah,,Charleswood - Tuxedo - Westwood,49.871223669542374,-97.25077530780838,Entire home/apt,163,1,5,2025-03-06,4.17,1,335,5,STRA-2024-2647253
1334358683900892335,Historic Suite in Downtown Wpg,30683270,Ori Anthea,,Fort Rouge - East Fort Garry,49.87958337208202,-97.14324211828121,Entire home/apt,62,2,8,2025-02-07,4.80,1,0,8,
1334933701812466393,Modern basement with all comforts in Bonavista,673210076,Osemudiamen,,St. Vital,49.821321,-97.06318929999999,Entire home/apt,78,1,13,2025-03-03,9.07,1,362,13,
1335457152494680443,New basement near downtown,549454440,Ana,,Daniel McIntyre,49.88813663545314,-97.1671657146015,Entire home/apt,80,1,3,2025-02-09,2.05,2,20,3,
1335845023758318054,Salama home,284527620,Bisetsa,,Mynarski,49.91789615386603,-97.14672163972554,Entire home/apt,86,1,1,2025-01-19,0.63,1,90,1,
1336164588442337085,Luxurious one bedroom suite in Bridgwater,332054504,Chidera,,Waverley West,49.79673714699517,-97.19959997090999,Entire home/apt,105,2,4,2025-03-07,4,1,355,4,
1336203738608597027,New 2-Bedroom separate suite,46832743,Florence,,Waverley West,49.7798096599531,-97.20695444493246,Entire home/apt,78,2,0,,,1,0,0,
1336458691596220936,Spacious lake view apartment,82405625,Nina,,St. Vital,49.81961007532623,-97.05455140858258,Entire home/apt,123,1,3,2025-02-21,3,1,179,3,
1336685906285630696,Luxury house for an amazing stay in Winnipeg!,254298086,Glory,,Transcona,49.894467862030254,-97.00195625424385,Entire home/apt,62,1,2,2025-03-01,2,1,350,2,
1336976426091718101,Bishop’s Suite,663535997,Oluwatobi,,St. Vital,49.82299232812735,-97.05388247966766,Entire home/apt,69,1,4,2025-02-22,2.93,1,169,4,
1337892004398435815,King Room with Free Breakfast,110192366,Stay549,,Charleswood - Tuxedo - Westwood,49.85583727802019,-97.27595813506561,Private room,206,1,0,,,6,218,0,
1338000045200516895,Cozy place near downtown,69360661,Ali,,Mynarski,49.9083485013496,-97.1254092596421,Entire home/apt,85,1,0,,,1,88,0,
1338786054541995281,"Free parking, 2 beds, Private Entrance",674248145,Oluwatosin,,Transcona,49.9053768,-97.035608,Entire home/apt,61,2,1,2025-02-09,1,1,351,1,
1339186165255694393,Winnipeg 1 Bedroom LXTX,57441707,Jeffery,,Charleswood - Tuxedo - Westwood,49.84541785356804,-97.2274541977268,Entire home/apt,98,31,0,,,2,0,0,
1339438327057002269,Entire Basement Suite,674467269,Aderonke,,Transcona,49.90774390570646,-97.04458583133841,Entire home/apt,77,1,2,2025-02-16,1.87,1,0,2,
1340084232822072966,Cheapest Airbnb in south wpg,674642081,Neha,,St. Norbert - Seine River,49.78962505508626,-97.15330621748633,Private room,41,1,0,,,1,365,0,
1341339720621675167,Glasshouse Downtown Condo,527070318,BESTbodyby,,Daniel McIntyre,49.89509366452502,-97.14561651365351,Entire home/apt,,30,0,,,1,0,0,
1341706287033001694,Cozy bedroom,672975904,Anita,,St. Norbert - Seine River,49.78649239256081,-97.14474422986603,Private room,90,1,0,,,4,365,0,
1341714739590037154,Spacious masterbedroom,672975904,Anita,,St. Norbert - Seine River,49.78512494042348,-97.14257598245308,Private room,102,1,0,,,4,365,0,
1341721389773910812,Cozy Bedroom,672975904,Anita,,St. Norbert - Seine River,49.78678300462618,-97.14478603314873,Private room,78,1,0,,,4,365,0,
1342077435151776545,B&L two bedroom private suite,656492012,Olalekan,,St. Vital,49.8202684,-97.0525364,Entire home/apt,89,1,2,2025-02-12,2,2,361,2,
1342115133008462646,B n L One Private Bedroom Suite,656492012,Olalekan,,St. Vital,49.82112047751266,-97.05207056575962,Entire home/apt,82,1,5,2025-02-17,3.95,2,360,5,
1342317677746854134,Home to Home 1,598512452,Selome,,Fort Rouge - East Fort Garry,49.881590698776385,-97.15613248508348,Private room,40,30,0,,,1,344,0,
1342356430867365436,"Bliss and Comfort Home
2queen beds, 1 bath",410331838,Joseph,,St. Vital,49.8209706,-97.0518967,Entire home/apt,64,1,0,,,2,359,0,
1342377010751050402,"Bliss and Comfort Home R1
1queen bed, 1 bath",410331838,Joseph,,St. Vital,49.821209634415766,-97.05117888613505,Entire home/apt,63,1,3,2025-02-22,2.20,2,359,3,
1343047997537644865,Beautiful and Cozy One Bedroom Basement Suite,675405365,Joy,,Elmwood - East Kildonan,49.91110208099168,-97.10251764773602,Entire home/apt,55,1,1,2025-03-06,1,1,88,1,
1343376448120039956,Master bedroom in a full house,36760720,Huong Giang,,Waverley West,49.8006241498276,-97.18507703393698,Private room,52,1,0,,,3,365,0,
1343381791493927055,Regular room of a full house,36760720,Huong Giang,,Waverley West,49.80268243854852,-97.18425522661049,Private room,44,1,0,,,3,364,0,
